asc_liftoff,asc_turbofan,js_ignition,js_sparkplug,js_turbofan
3685,2677,8030,2148,2115
3679,2683,8033,2135,2131
3690,2679,8050,2155,2131
3691,2674,8036,2139,2135
3695,2681,8067,2142,2099
3791,2683,8041,2141,2128
3782,2682,8052,2153,2147
3758,2677,8051,2137,2122
3760,2677,8035,2172,2100
3759,2676,8081,2127,2112
