name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
InitializeGraph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
InitializeGraph,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
InitializeGraph,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
