name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
