name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
transform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
