name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,maglevved,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bit_scan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
