time,iteration,name,isFunction,neverOptimize,alwaysOptimize,maybeDeopted,optimized,turboFanned,interpreted,markedForOptimization,markedForConcurrentOptimization,optimizingConcurrently,isExecuting,topmostFrameIsTurboFanned,liteMode,markedForDeoptimization,baseline,topmostFrameIsInterpreted,topmostFrameIsBaseline
0,18,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,19,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,20,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,21,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,22,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,23,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,24,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,25,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,26,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,27,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,28,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,29,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,30,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,31,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,32,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,33,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,34,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,35,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,36,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,37,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,38,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,39,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,40,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,41,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,42,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,43,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,44,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,45,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,46,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,47,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,48,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,49,main,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
